"","long-lived","medium-lived","short-lived"
"Linf",45,90,30
"LMARR",-1,2,1
"M",0.05,0.2,0.6
"Selex_A50_times_Amat",1,1,1
"Selex_Slope",10000,10000,10000
"W0",0.1,0.1,0.1
"theta1",0.01,0.01,0.01
"theta2",3,3,3
"R0",1e+09,1e+09,1e+09
"Winf",911.25,7290,270
"B",0.0816496580927726,0.32659863237109,0.979795897113271
"A",0.791589851209403,6.33271880967523,6.33271880967523
"L0",2.15443469003188,2.15443469003188,2.15443469003188
"K",0.0272165526975909,0.108866210790363,0.32659863237109
"Amat",35.5710473025482,8.89276182563706,2.96425394187902
"Lmat",28.7274300857754,56.6366147156782,19.4243685424745
"W_amat",237.077494651627,1816.73616004993,73.2893260907294
"MLRR",7.54306131115529,40.7628774565904,6.02471616272783
"h",0.653471475878381,0.910640239696854,0.600986208978952
"SB_0_hat",500004685.231105,0.00923549340599337,597.276317179537
"SR_alpha",15.0859812596933,4413719512824.01,10086983.175857
"SR_beta",1.30860000004421e-08,4305.44159457537,0.0084127162222932
"Fmsy",0.0424602537391713,0.182242629270793,0.196351322400059
"SBmsy",165527838.645785,0.00237358824302476,222.424211555931
"Cmsy",6649813.55587714,0.000386989251228936,36.9006691494785
