"","F_Type","M","M_Type","Multiplier","Parameter","Delta","Species","F","Catch","SSB","SBmsy","Fmsy","Cmsy"
"1","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0,0,499999041.68301,165527838.645785,0.0424602537391713,6649813.55587714
"2","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0102040816326531,3686565.47704546,371018537.580983,165527838.645785,0.0424602537391713,6649813.55587714
"3","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0204081632653061,5553000.39965618,281731948.986533,165527838.645785,0.0424602537391713,6649813.55587714
"4","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0306122448979592,6393711.07176165,218219199.965211,165527838.645785,0.0424602537391713,6649813.55587714
"5","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0408163265306122,6645757.76866153,171803043.707843,165527838.645785,0.0424602537391713,6649813.55587714
"6","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0510204081632653,6554566.15172683,137012708.373685,165527838.645785,0.0424602537391713,6649813.55587714
"7","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0612244897959184,6259948.51256819,110303280.108956,165527838.645785,0.0424602537391713,6649813.55587714
"8","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0714285714285714,5844160.51483811,89350827.2822276,165527838.645785,0.0424602537391713,6649813.55587714
"9","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0816326530612245,5356133.57292106,72584756.1880532,165527838.645785,0.0424602537391713,6649813.55587714
"10","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.0918367346938775,4826648.37583019,58936003.9040462,165527838.645785,0.0424602537391713,6649813.55587714
"11","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.102040816326531,4274782.09061146,47648519.4877866,165527838.645785,0.0424602537391713,6649813.55587714
"12","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.112244897959184,3713560.74797166,38188853.6397851,165527838.645785,0.0424602537391713,6649813.55587714
"13","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.122448979591837,3151244.42626799,30162708.7128251,165527838.645785,0.0424602537391713,6649813.55587714
"14","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.13265306122449,2594027.29020974,23283143.6108497,165527838.645785,0.0424602537391713,6649813.55587714
"15","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.142857142857143,2045792.56593676,17329214.7255366,165527838.645785,0.0424602537391713,6649813.55587714
"16","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.153061224489796,1509495.6271288,12133872.5824882,165527838.645785,0.0424602537391713,6649813.55587714
"17","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.163265306122449,987173.996667529,7566764.32722866,165527838.645785,0.0424602537391713,6649813.55587714
"18","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.173469387755102,480241.810665955,3525134.71237268,165527838.645785,0.0424602537391713,6649813.55587714
"19","Optimum",0.05,"Length-Based",1,"M_a_All","Default","long-lived",0.183673469387755,0.00947993753893478,0.066890367489452,165527838.645785,0.0424602537391713,6649813.55587714
